seed,pathway_type,stage,mean_in_stage,median_in_stage,peak_in_stage
1021,PROSTAD,report_to_biopmdt,0.0,0.0,0
1021,PROSTAD,treatmdt_to_outpat,1.526027397260274,1.0,7
1022,BASELINE,biopmdt_to_biopsy,6.254794520547946,6.0,13
1022,BASELINE,biopsy_to_pathrep,1.8876712328767122,2.0,7
1022,BASELINE,mri_to_report,2.947945205479452,3.0,9
1022,BASELINE,pathrep_to_treatmdt,1.4767123287671233,1.0,6
1022,BASELINE,ref_to_mri,10.783561643835617,11.0,17
1022,BASELINE,report_to_biopmdt,2.0821917808219177,2.0,7
1022,BASELINE,treatmdt_to_outpat,1.6794520547945206,1.0,6
1022,PROSTAD,biopmdt_to_biopsy,5.328767123287672,5.0,11
1022,PROSTAD,biopsy_to_pathrep,1.6,1.0,5
1022,PROSTAD,mri_to_report,0.35342465753424657,0.0,4
1022,PROSTAD,pathrep_to_treatmdt,1.7561643835616438,2.0,5
1022,PROSTAD,ref_to_mri,1.2356164383561643,1.0,6
1022,PROSTAD,report_to_biopmdt,0.0,0.0,0
1022,PROSTAD,treatmdt_to_outpat,1.378082191780822,1.0,4
1023,BASELINE,biopmdt_to_biopsy,6.424657534246576,7.0,14
1023,BASELINE,biopsy_to_pathrep,2.0082191780821916,2.0,7
1023,BASELINE,mri_to_report,2.4904109589041097,2.0,7
1023,BASELINE,pathrep_to_treatmdt,2.0465753424657533,2.0,9
1023,BASELINE,ref_to_mri,9.252054794520548,9.0,16
1023,BASELINE,report_to_biopmdt,1.9232876712328768,2.0,8
1023,BASELINE,treatmdt_to_outpat,1.9808219178082191,2.0,8
1023,PROSTAD,biopmdt_to_biopsy,6.210958904109589,7.0,12
1023,PROSTAD,biopsy_to_pathrep,1.7232876712328766,2.0,4
1023,PROSTAD,mri_to_report,0.3726027397260274,0.0,4
1023,PROSTAD,pathrep_to_treatmdt,1.9452054794520548,2.0,6
1023,PROSTAD,ref_to_mri,1.8,2.0,7
1023,PROSTAD,report_to_biopmdt,0.0,0.0,0
1023,PROSTAD,treatmdt_to_outpat,1.6,1.0,7
1024,BASELINE,biopmdt_to_biopsy,5.882191780821918,6.0,13
1024,BASELINE,biopsy_to_pathrep,1.832876712328767,2.0,6
1024,BASELINE,mri_to_report,2.852054794520548,3.0,8
1024,BASELINE,pathrep_to_treatmdt,1.6767123287671233,2.0,6
1024,BASELINE,ref_to_mri,9.556164383561644,10.0,15
1024,BASELINE,report_to_biopmdt,1.9452054794520548,2.0,8
1024,BASELINE,treatmdt_to_outpat,1.5808219178082192,1.0,7
1024,PROSTAD,biopmdt_to_biopsy,4.558904109589041,5.0,10
1024,PROSTAD,biopsy_to_pathrep,1.4164383561643836,1.0,6
1024,PROSTAD,mri_to_report,0.3287671232876712,0.0,4
1024,PROSTAD,pathrep_to_treatmdt,1.621917808219178,1.0,6
1024,PROSTAD,ref_to_mri,1.2547945205479452,1.0,6
1024,PROSTAD,report_to_biopmdt,0.0,0.0,0
1024,PROSTAD,treatmdt_to_outpat,1.3643835616438356,1.0,5
1025,BASELINE,biopmdt_to_biopsy,6.178082191780822,6.0,13
1025,BASELINE,biopsy_to_pathrep,2.0575342465753423,2.0,7
1025,BASELINE,mri_to_report,2.8958904109589043,3.0,7
1025,BASELINE,pathrep_to_treatmdt,1.9506849315068493,2.0,7
1025,BASELINE,ref_to_mri,9.816438356164383,10.0,17
1025,BASELINE,report_to_biopmdt,1.8630136986301369,2.0,7
1025,BASELINE,treatmdt_to_outpat,2.219178082191781,2.0,7
1025,PROSTAD,biopmdt_to_biopsy,6.2246575342465755,6.0,13
1025,PROSTAD,biopsy_to_pathrep,1.83013698630137,1.0,7
1025,PROSTAD,mri_to_report,0.3863013698630137,0.0,4
1025,PROSTAD,pathrep_to_treatmdt,1.8027397260273972,2.0,7
1025,PROSTAD,ref_to_mri,1.4547945205479451,1.0,7
1025,PROSTAD,report_to_biopmdt,0.0,0.0,0
1025,PROSTAD,treatmdt_to_outpat,1.7424657534246575,2.0,7
1026,BASELINE,biopmdt_to_biopsy,6.175342465753425,7.0,14
1026,BASELINE,biopsy_to_pathrep,1.7945205479452055,2.0,6
1026,BASELINE,mri_to_report,2.2958904109589042,2.0,7
1026,BASELINE,pathrep_to_treatmdt,1.789041095890411,2.0,5
1026,BASELINE,ref_to_mri,9.087671232876712,9.0,16
1026,BASELINE,report_to_biopmdt,1.7945205479452055,2.0,6
1026,BASELINE,treatmdt_to_outpat,1.632876712328767,2.0,5
1026,PROSTAD,biopmdt_to_biopsy,5.402739726027397,5.0,12
1026,PROSTAD,biopsy_to_pathrep,1.7232876712328766,1.0,6
1026,PROSTAD,mri_to_report,0.3506849315068493,0.0,4
1026,PROSTAD,pathrep_to_treatmdt,1.8767123287671232,2.0,9
1026,PROSTAD,ref_to_mri,1.4301369863013698,1.0,6
1026,PROSTAD,report_to_biopmdt,0.0,0.0,0
1026,PROSTAD,treatmdt_to_outpat,1.6356164383561644,1.0,7
1027,BASELINE,biopmdt_to_biopsy,6.564383561643836,7.0,14
1027,BASELINE,biopsy_to_pathrep,1.621917808219178,1.0,6
1027,BASELINE,mri_to_report,2.6136986301369864,2.0,8
1027,BASELINE,pathrep_to_treatmdt,1.7178082191780821,2.0,6
1027,BASELINE,ref_to_mri,10.443835616438356,11.0,17
1027,BASELINE,report_to_biopmdt,2.03013698630137,2.0,7
1027,BASELINE,treatmdt_to_outpat,1.6246575342465754,1.0,7
1027,PROSTAD,biopmdt_to_biopsy,5.673972602739726,6.0,12
1027,PROSTAD,biopsy_to_pathrep,1.643835616438356,1.0,6
1027,PROSTAD,mri_to_report,0.4328767123287671,0.0,4
1027,PROSTAD,pathrep_to_treatmdt,1.810958904109589,2.0,6
1027,PROSTAD,ref_to_mri,1.9479452054794522,2.0,6
1027,PROSTAD,report_to_biopmdt,0.0,0.0,0
1027,PROSTAD,treatmdt_to_outpat,1.6821917808219178,1.0,6
1028,BASELINE,biopmdt_to_biopsy,5.83013698630137,6.0,13
1028,BASELINE,biopsy_to_pathrep,1.904109589041096,2.0,8
1028,BASELINE,mri_to_report,2.473972602739726,2.0,9
1028,BASELINE,pathrep_to_treatmdt,1.5342465753424657,1.0,7
1028,BASELINE,ref_to_mri,9.493150684931507,10.0,15
1028,BASELINE,report_to_biopmdt,1.7205479452054795,2.0,7
1028,BASELINE,treatmdt_to_outpat,1.6931506849315068,1.0,7
1028,PROSTAD,biopmdt_to_biopsy,5.706849315068493,6.0,11
