week_start,weekly_arrivals,scenario,seed,stage
2026-08-03,4,ALL_PROSTAD,19,mri_to_report
2026-08-10,4,ALL_PROSTAD,19,mri_to_report
2026-08-17,4,ALL_PROSTAD,19,mri_to_report
2026-08-24,4,ALL_PROSTAD,19,mri_to_report
2026-08-31,4,ALL_PROSTAD,19,mri_to_report
2026-09-07,4,ALL_PROSTAD,19,mri_to_report
2026-09-14,4,ALL_PROSTAD,19,mri_to_report
2026-09-21,4,ALL_PROSTAD,19,mri_to_report
2026-09-28,4,ALL_PROSTAD,19,mri_to_report
2026-10-05,4,ALL_PROSTAD,19,mri_to_report
2026-10-12,4,ALL_PROSTAD,19,mri_to_report
2026-10-19,4,ALL_PROSTAD,19,mri_to_report
2026-10-26,4,ALL_PROSTAD,19,mri_to_report
2026-11-02,4,ALL_PROSTAD,19,mri_to_report
2026-11-09,4,ALL_PROSTAD,19,mri_to_report
2026-11-16,4,ALL_PROSTAD,19,mri_to_report
2026-11-23,4,ALL_PROSTAD,19,mri_to_report
2026-11-30,4,ALL_PROSTAD,19,mri_to_report
2026-12-07,4,ALL_PROSTAD,19,mri_to_report
2026-12-14,4,ALL_PROSTAD,19,mri_to_report
2026-12-21,4,ALL_PROSTAD,19,mri_to_report
2026-12-28,4,ALL_PROSTAD,19,mri_to_report
2026-01-05,2,ALL_PROSTAD,19,report_to_biopmdt
2026-01-12,4,ALL_PROSTAD,19,report_to_biopmdt
2026-01-19,4,ALL_PROSTAD,19,report_to_biopmdt
2026-01-26,4,ALL_PROSTAD,19,report_to_biopmdt
2026-02-02,4,ALL_PROSTAD,19,report_to_biopmdt
2026-02-09,4,ALL_PROSTAD,19,report_to_biopmdt
2026-02-16,4,ALL_PROSTAD,19,report_to_biopmdt
2026-02-23,4,ALL_PROSTAD,19,report_to_biopmdt
2026-03-02,4,ALL_PROSTAD,19,report_to_biopmdt
2026-03-09,4,ALL_PROSTAD,19,report_to_biopmdt
2026-03-16,4,ALL_PROSTAD,19,report_to_biopmdt
2026-03-23,4,ALL_PROSTAD,19,report_to_biopmdt
2026-03-30,4,ALL_PROSTAD,19,report_to_biopmdt
2026-04-06,4,ALL_PROSTAD,19,report_to_biopmdt
2026-04-13,4,ALL_PROSTAD,19,report_to_biopmdt
2026-04-20,4,ALL_PROSTAD,19,report_to_biopmdt
2026-04-27,4,ALL_PROSTAD,19,report_to_biopmdt
2026-05-04,4,ALL_PROSTAD,19,report_to_biopmdt
2026-05-11,4,ALL_PROSTAD,19,report_to_biopmdt
2026-05-18,4,ALL_PROSTAD,19,report_to_biopmdt
2026-05-25,4,ALL_PROSTAD,19,report_to_biopmdt
2026-06-01,4,ALL_PROSTAD,19,report_to_biopmdt
2026-06-08,4,ALL_PROSTAD,19,report_to_biopmdt
2026-06-15,4,ALL_PROSTAD,19,report_to_biopmdt
2026-06-22,4,ALL_PROSTAD,19,report_to_biopmdt
2026-06-29,4,ALL_PROSTAD,19,report_to_biopmdt
2026-07-06,4,ALL_PROSTAD,19,report_to_biopmdt
2026-07-13,4,ALL_PROSTAD,19,report_to_biopmdt
2026-07-20,4,ALL_PROSTAD,19,report_to_biopmdt
2026-07-27,4,ALL_PROSTAD,19,report_to_biopmdt
2026-08-03,4,ALL_PROSTAD,19,report_to_biopmdt
2026-08-10,4,ALL_PROSTAD,19,report_to_biopmdt
2026-08-17,4,ALL_PROSTAD,19,report_to_biopmdt
2026-08-24,4,ALL_PROSTAD,19,report_to_biopmdt
2026-08-31,4,ALL_PROSTAD,19,report_to_biopmdt
2026-09-07,4,ALL_PROSTAD,19,report_to_biopmdt
2026-09-14,4,ALL_PROSTAD,19,report_to_biopmdt
2026-09-21,4,ALL_PROSTAD,19,report_to_biopmdt
2026-09-28,4,ALL_PROSTAD,19,report_to_biopmdt
2026-10-05,4,ALL_PROSTAD,19,report_to_biopmdt
2026-10-12,4,ALL_PROSTAD,19,report_to_biopmdt
2026-10-19,4,ALL_PROSTAD,19,report_to_biopmdt
2026-10-26,4,ALL_PROSTAD,19,report_to_biopmdt
2026-11-02,4,ALL_PROSTAD,19,report_to_biopmdt
2026-11-09,4,ALL_PROSTAD,19,report_to_biopmdt
2026-11-16,4,ALL_PROSTAD,19,report_to_biopmdt
2026-11-23,4,ALL_PROSTAD,19,report_to_biopmdt
2026-11-30,4,ALL_PROSTAD,19,report_to_biopmdt
2026-12-07,4,ALL_PROSTAD,19,report_to_biopmdt
2026-12-14,4,ALL_PROSTAD,19,report_to_biopmdt
2026-12-21,4,ALL_PROSTAD,19,report_to_biopmdt
2026-12-28,4,ALL_PROSTAD,19,report_to_biopmdt
2026-01-05,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-01-12,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-01-19,4,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-01-26,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-02-02,3,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-02-09,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-02-16,2,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-02-23,1,ALL_PROSTAD,19,biopmdt_to_biopsy
2026-03-02,4,ALL_PROSTAD,19,biopmdt_to_biopsy
