scenario,stage,week_start,weekly_arrivals_mean,weekly_arrivals_std
ALL_BASELINE,treatmdt_to_outpat,2026-05-11,4.3,1.0310954828418375
ALL_BASELINE,treatmdt_to_outpat,2026-05-18,4.25,1.8883298106221302
ALL_BASELINE,treatmdt_to_outpat,2026-05-25,4.7368421052631575,2.6000449838663666
ALL_BASELINE,treatmdt_to_outpat,2026-06-01,3.6315789473684212,1.7704527454797
ALL_BASELINE,treatmdt_to_outpat,2026-06-08,3.4,1.7888543819998315
ALL_BASELINE,treatmdt_to_outpat,2026-06-15,4.7,1.490319640741189
ALL_BASELINE,treatmdt_to_outpat,2026-06-22,3.85,2.4553914898486253
ALL_BASELINE,treatmdt_to_outpat,2026-06-29,5.1,2.4039441275580957
ALL_BASELINE,treatmdt_to_outpat,2026-07-06,4.4,2.087557121815378
ALL_BASELINE,treatmdt_to_outpat,2026-07-13,4.8,1.8524521444205841
ALL_BASELINE,treatmdt_to_outpat,2026-07-20,4.25,2.29128784747792
ALL_BASELINE,treatmdt_to_outpat,2026-07-27,3.526315789473684,1.4286131990551605
ALL_BASELINE,treatmdt_to_outpat,2026-08-03,4.65,2.814903943392441
ALL_BASELINE,treatmdt_to_outpat,2026-08-10,4.421052631578948,1.7099639201419234
ALL_BASELINE,treatmdt_to_outpat,2026-08-17,4.894736842105263,2.378018242199567
ALL_BASELINE,treatmdt_to_outpat,2026-08-24,3.9,1.651155894963793
ALL_BASELINE,treatmdt_to_outpat,2026-08-31,4.95,2.235479461111784
ALL_BASELINE,treatmdt_to_outpat,2026-09-07,3.6842105263157894,2.3345861298441783
ALL_BASELINE,treatmdt_to_outpat,2026-09-14,4.45,2.211810403980842
ALL_BASELINE,treatmdt_to_outpat,2026-09-21,4.2,1.935812083093974
ALL_BASELINE,treatmdt_to_outpat,2026-09-28,3.6,1.6351404253232553
ALL_BASELINE,treatmdt_to_outpat,2026-10-05,4.55,1.8202082009311027
ALL_BASELINE,treatmdt_to_outpat,2026-10-12,4.25,2.0228952674713274
ALL_BASELINE,treatmdt_to_outpat,2026-10-19,3.8947368421052633,1.5597270716416047
